Title											
2011 SAIPE Program Estimates *											
Poverty Rate, Ages 5 to17 in Families											
Counties in Metropolitan Statistical Areas											
Content											
	30 Lowest SAIPE County Estimates						30 Highest SAIPE County Estimates				
	From the 1100 Counties in Metropolitan Statistical Areas						From the 1100 Counties in Metropolitan Statistical Areas				
	County Name                      	Population 	Poverty Rate, Ages        5 to 17 in Families	90% C.I. Lower Bound	90% C.I. Upper Bound		County Name                      	Population 	Poverty Rate, Ages        5 to 17 in Families	90% C.I. Lower Bound	90% C.I. Upper Bound
	 Falls Church city, VA                            	12,751	2.3	1.6	3.0		 Alexander County, IL                             	8,036	47.8	37.2	58.4
	 Hunterdon County, NJ                             	128,038	3.7	2.8	4.6		 Hidalgo County, TX                               	797,810	46.2	43.0	49.4
	 Douglas County, CO                               	292,167	4.0	3.1	4.9		 Cameron County, TX                               	414,123	45.5	42.3	48.7
	 Loudoun County, VA                               	325,405	4.1	3.0	5.2		 Tunica County, MS                                	10,628	45.2	34.3	56.1
	 Morris County, NJ                                	494,976	5.0	3.9	6.1		 Terrell County, GA                               	9,319	44.1	34.5	53.7
	 Lincoln County, SD                               	46,793	5.1	3.6	6.6		 Greene County, AL                                	8,921	43.2	33.8	52.6
	 Delaware County, OH                              	178,341	5.1	3.8	6.4		 Webb County, TX                                  	256,496	42.1	36.7	47.5
	 Carver County, MN                                	92,638	5.1	3.9	6.3		 Brooks County, GA                                	15,889	41.5	33.4	49.6
	 Monroe County, IL                                	33,306	5.1	3.9	6.3		 Bronx County, NY                                 	1,392,002	41.0	38.6	43.4
	 Ozaukee County, WI                               	86,568	5.2	3.9	6.5		 Orleans Parish, LA                               	360,740	40.7	36.8	44.6
	 Somerset County, NJ                              	324,893	5.2	3.9	6.5		 Burke County, GA                                 	23,504	40.7	31.9	49.5
	 Poquoson city, VA                                	12,000	5.4	3.9	6.9		 Danville city, VA                                	42,852	40.1	31.0	49.2
	 Putnam County, NY                                	99,933	5.5	4.2	6.8		 Petersburg city, VA                              	32,326	39.8	30.8	48.8
	 Hamilton County, IN                              	282,810	5.5	4.1	6.9		 Echols County, GA                                	4,129	39.2	29.3	49.1
	 Sussex County, NJ                                	148,517	5.7	4.4	7.0		 Crittenden County, AR                            	50,525	38.7	32.1	45.3
	 Norfolk County, MA                               	675,436	5.8	4.6	7.0		 Philadelphia County, PA                          	1,536,471	38.6	36.1	41.1
	 Waukesha County, WI                              	390,730	5.8	4.7	6.9		 Dougherty County, GA                             	94,788	38.6	31.4	45.8
	 Washington County, MN                            	241,280	5.9	4.5	7.3		 Washington County, MO                            	25,076	38.1	30.6	45.6
	 Hanover County, VA                               	100,342	6.1	4.4	7.8		 Geneva County, AL                                	26,781	38.1	31.0	45.2
	 Tolland County, CT                               	152,507	6.1	4.6	7.6		 Lowndes County, AL                               	11,147	38.0	28.5	47.5
	 Carroll County, MD                               	167,288	6.1	4.4	7.8		 Crosby County, TX                                	6,092	37.8	29.1	46.5
	 Morgan County, UT                                	9,685	6.3	4.6	8.0		 St. Helena Parish, LA                            	10,949	37.8	29.0	46.6
	 York County, VA                                  	66,134	6.3	4.6	8.0		 Union Parish, LA                                 	22,732	37.6	31.4	43.8
	 Williamson County, TN                            	188,560	6.5	5.0	8.0		 Hale County, AL                                  	15,421	37.4	30.5	44.3
	 St. Charles County, MO                           	365,151	6.6	4.9	8.3		 Baker County, GA                                 	3,085	37.2	28.5	45.9
	 Scott County, MN                                 	132,556	6.6	5.1	8.1		 Gadsden County, FL                               	46,151	36.6	29.6	43.6
	 Howard County, MD                                	293,142	6.6	5.1	8.1		 St. Louis city, MO                               	318,069	36.6	30.9	42.3
	 Johnson County, KS                               	552,991	6.6	5.3	7.9		 Dona Ana County, NM                              	213,598	36.5	32.0	41.0
	 Kendall County, IL                               	116,631	6.7	5.1	8.3		 Ouachita Parish, LA                              	154,919	36.0	31.1	40.9
	 Montgomery County, PA                            	804,210	6.7	5.4	8.0		 Laurens County, SC                               	66,528	36.0	30.0	42.0
Footnotes											
* Apparent differences between estimates may not be statistically significant.  Please see the READ ME page for more information.											
Source:  Small Area Income and Poverty Estimates (SAIPE) program, U.S. Census Bureau											
http://www.census.gov/did/www/saipe/index.html											
